id,special_area_name,special_area_id,category,density
area_plan_89,NA,NA,Multi_Family_Density,25
area_plan_90,NA,NA,Multi_Family_Density,25
area_plan_91,NA,NA,Multi_Family_Density,25
area_plan_92,NA,NA,Multi_Family_Density,25
area_plan_93,NA,NA,Multi_Family_Density,25
area_plan_94,NA,NA,Multi_Family_Density,0
area_plan_95,NA,NA,Multi_Family_Density,0
area_plan_96,NA,NA,Multi_Family_Density,25
area_plan_97,NA,NA,Multi_Family_Density,25
area_plan_98,NA,NA,Multi_Family_Density,25
area_plan_99,NA,NA,Multi_Family_Density,25
area_plan_100,NA,NA,Multi_Family_Density,25
area_plan_1,NA,NA,Tourist_Accommodation_Density,30 units per acre
area_plan_2,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_3,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_4,NA,NA,Tourist_Accommodation_Density,30 units per acre - Only in Town Center portion
area_plan_5,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_6,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_7,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_8,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_9,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_10,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_11,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_12,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_13,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_14,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_15,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_16,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_17,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_18,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_19,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_20,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_21,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_22,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_23,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_24,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_25,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_26,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_27,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_28,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_29,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_30,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_31,NA,NA,Tourist_Accommodation_Density,20 units per acre if less than 10% have kitchens
area_plan_32,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_33,NA,NA,Tourist_Accommodation_Density,See Homewood Master Plan
area_plan_34,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_35,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_36,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_37,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_38,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_39,LAKE FOREST COMMERCIAL SA #1-COM/PS,1,Tourist_Accommodation_Density,NA
area_plan_40,LAKE FOREST COMMERCIAL SA #2-COM/PS,2,Tourist_Accommodation_Density,NA
area_plan_41,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_42,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_43,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_44,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_45,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_46,MARTIS PEAK SA #1-CONS,1,Tourist_Accommodation_Density,NA
area_plan_47,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_48,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_49,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_50,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_51,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_52,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_53,NA,NA,Tourist_Accommodation_Density,40 units per acre
area_plan_54,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_55,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_56,NORTH TAHOE HIGH SCHOOL SA#1-REC,1,Tourist_Accommodation_Density,NA
area_plan_57,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_58,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_59,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_60,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_61,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_62,NA,NA,Tourist_Accommodation_Density,40 units per acre if less than 10% have kitchens
area_plan_63,NA,NA,Tourist_Accommodation_Density,20 units per acre if less than 10% have kitchens
area_plan_64,NA,NA,Tourist_Accommodation_Density,"NA"
area_plan_65,NA,NA,Tourist_Accommodation_Density,20 units per acre if less than 10% have kitchens
area_plan_66,NA,NA,Tourist_Accommodation_Density,"NA"
